linha,cnae_raw,cnae,descricao,anexo,fator_r,aliquota,atende,categoria_slug,flags,url
"1","3250706","3250706","Serviços de prótese dentária","V","Sim","15.5","Atende","fabricacao-de-produtos-diversos","par_fator_r","/consulta-cnae/fabricacao-de-produtos-diversos/3250706-servicos-de-protese-dentaria/"
"2","3250706","3250706","Serviços de prótese dentária","III","Sim","6","Atende","fabricacao-de-produtos-diversos","par_fator_r","/consulta-cnae/fabricacao-de-produtos-diversos/3250706-servicos-de-protese-dentaria/"
"3","3250709","3250709","Serviço de laboratório óptico","V","Sim","15.5","Atende","fabricacao-de-produtos-diversos","par_fator_r","/consulta-cnae/fabricacao-de-produtos-diversos/3250709-servico-de-laboratorio-optico/"
"4","3250709","3250709","Serviço de laboratório óptico","III","Sim","6","Atende","fabricacao-de-produtos-diversos","par_fator_r","/consulta-cnae/fabricacao-de-produtos-diversos/3250709-servico-de-laboratorio-optico/"
"5","4399101","4399101","Administração de obras","III","Não","6","Atende","servicos-especializados-para-construcao","","/consulta-cnae/servicos-especializados-para-construcao/4399101-administracao-de-obras/"
"6","4512901","4512901","Representantes comerciais e agentes do comércio de veículos automotores","V","Sim","15.5","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4512901-representantes-comerciais-e-agentes-do-comercio-de-veiculos-automotores/"
"7","4530702","4530702","Comércio por atacado de pneumáticos e câmaras-de-ar","I","Não","4","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530702-comercio-por-atacado-de-pneumaticos-e-camaras-de-ar/"
"8","4530703","4530703","Comércio a varejo de peças e acessórios novos para veículos automotores","I","Não","4","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530703-comercio-a-varejo-de-pecas-e-acessorios-novos-para-veiculos-automotores/"
"9","4530704","4530704","Comércio a varejo de peças e acessórios usados para veículos automotores","I","Não","4","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530704-comercio-a-varejo-de-pecas-e-acessorios-usados-para-veiculos-automotores/"
"10","4530705","4530705","Comércio a varejo de pneumáticos e câmaras-de-ar","I","Não","4","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530705-comercio-a-varejo-de-pneumaticos-e-camaras-de-ar/"
