cnae,descricao,titulo_amigavel,descricao_amigavel,secao_id,secao,divisao_id,grupo_id,grupo_descricao,classe_id,classe_observacoes,subclasse_observacoes,atividades,anexo_base,anexo_just,fator_r,aliquota_inicial,contabilizei_atende,contabilizei_just,mei_permitido,mei_ocupacoes,mei_iss_fixo_das,mei_icms_fixo_das,risco_baixo_cgsim,risco_cgsim_desc_oficial,vedado_simples_cgsn_anexo_vi,ambiguo_simples_cgsn_anexo_vii,anexo_fator_r_grupo,anexo_fator_r_fonte,anexo_fator_r_confianca,iss_bh_aliquota,iss_bh_varia,iss_bh_detalhe,exige_conselho,conselho_qual,conselho_fonte,conselho_confianca,atende_me_certeza,atende_mei_certeza,exige_registro_setorial,registro_setorial_qual,registro_setorial_fonte,_motivo_da_amostra,_motor_apura
4929902,"TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL",,,H,"TRANSPORTE, ARMAZENAGEM E CORREIO",49,492,TRANSPORTE RODOVIÁRIO DE PASSAGEIROS,49299,"Esta classe compreende - o transporte rodoviário coletivo de passageiros, sob o regime de fretamento | - a organização de excursões em veículos rodoviários próprios | - o transporte de empregados para terceiros | - outros transportes rodoviários de passageiros, sem itinerário fixo, não especificados anteriormente || Esta classe NÃO compreende - os serviços de ambulâncias (86.22-4) | - o transporte escolar (49.24-8) | - a locação de automóveis com motorista ou condutor (49.23-0) | - a locação de automóveis sem motorista ou condutor (77.11-0) | - o transporte turístico em veículos de tração animal (93.29-8)","Esta subclasse compreende - o transporte rodoviário coletivo de passageiros, sob regime de fretamento no âmbito intermunicipal, fora da região metropolitana, interestadual e internacional || Esta subclasse NÃO compreende - a locação de automóveis com motorista ou condutor (4923-0/02) | - o transporte especializado na locomoção de estudantes da rede pública ou privada (4924-8/00) | - a locação de automóveis sem motorista ou condutor (7711-0/00)","AUTOMÓVEIS COLETIVOS COM MOTORISTA (CONDUTOR), INTERMUNICIPAL, INTERESTADUAL, INTERNACIONAL; LOCAÇÃO DE || TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL || VEÍCULOS RODOVIÁRIOS COLETIVOS COM MOTORISTA (CONDUTOR), INTERMUNICIPAL, INTERESTADUAL, INTERNACIONAL; LOCAÇÃO DE || ÔNIBUS COM MOTORISTA (CONDUTOR), INTERMUNICIPAL, INTERESTADUAL, INTERNACIONAL; LOCAÇÃO DE",III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),sim,TRANSPORTADOR(A) INTERMUNICIPAL COLETIVO DE PASSAGEIROS SOB FRETE EM REGIÃO METROPOLITANA INDEPENDENTE,N,S,nao,,nao,sim,III-fixo,"LC123 art18 5o-F (residual, nenhuma previsao em IV/V)",media,,,,nao,,,,nao,nao,nao-verificado,,,exceção · ambíguo no Simples (Anexo VII da CGSN),-
1610204,SERRARIAS SEM DESDOBRAMENTO DE MADEIRA EM BRUTO - RESSERRAGEM,,,C,INDÚSTRIAS DE TRANSFORMAÇÃO,16,161,DESDOBRAMENTO DE MADEIRA,16102,"Esta classe compreende - a fabricação de madeira bruta desdobrada (serrada) e de madeira resserrada (pranchas, pranchões, postes, tábuas, barrotes, aplainados para caixas e engradados e semelhantes) | - a fabricação de pisos de madeira e tábuas para assoalho e teto | - a fabricação de dormentes para vias férreas || Esta classe compreende ainda - a fabricação de lã e de partículas de madeira para qualquer fim | - a secagem, preservação e imunização da madeira | - a fabricação de briquetes de resíduos de madeira (carvão ecológico) || Esta classe NÃO compreende - a produção florestal de madeira em bruto (divisão 02) | - a fabricação de chapas de madeira compensada, prensada ou aglomerada (16.21-8) | - a fabricação de estruturas de madeira e vigamentos para construção (16.22-6)","Esta subclasse compreende - a produção de madeira resserrada submetida a aplainamento, secagem ou lixamento (pranchas, pranchões, postes, tábuas, tacos e parquetes para assoalhos e semelhantes) | - a fabricação de forros de madeira | - a fabricação de dormentes para vias férreas || Esta subclasse compreende ainda - a fabricação de lã e de partículas de madeira para qualquer fim | - a secagem, preservação e imunização da madeira quando integrada à produção de madeira resserrada || Esta subclasse NÃO compreende - a extração florestal de madeira em bruto (seção A - divisão 02) | - as serrarias com desdobramento de madeira em bruto (1610-2/03) | - os serviços de tratamento de madeira realizada sob contrato (1610-2/05) | - a fabricação de chapas de madeira compensada, prensada ou aglomerada (1621-8/00) | - a fabricação de estruturas de madeira e vigamentos para construção (1622-6/99)","ASSOALHOS DE MADEIRA; PRODUÇÃO DE || DORMENTES DE MADEIRA PARA VIAS FÉRREAS E SEMELHANTES, IMPREGNADOS OU NÃO; PRODUÇÃO DE || DORMENTES; PRODUÇÃO DE || FORROS DE MADEIRA; PRODUÇÃO DE || IMUNIZAÇÃO DE MADEIRA INTEGRADA À PRODUÇÃO DE MADEIRA RESSERRADA; SERVIÇOS DE || LÃ DE MADEIRA; PRODUÇÃO DE || MADEIRA PICADA; PRODUÇÃO DE || MADEIRA RESSERRADA; PRODUÇÃO DE || MOIRÕES DE MADEIRA; FABRICAÇÃO DE || PARQUETES; PRODUÇÃO DE || PISOS DE MADEIRA; FABRICAÇÃO DE || POSTES DE MADEIRA TRATADOS OU IMPREGNADOS; PRODUÇÃO DE || POSTES DE MADEIRA; PRODUÇÃO DE || PRANCHAS E PRANCHÕES; PRODUÇÃO DE || RIPAS; PRODUÇÃO DE || SARRAFOS; PRODUÇÃO DE || TACOS PARA PISOS; PRODUÇÃO DE || TÁBUA CORRIDA; FABRICAÇÃO DE || TÁBUAS; PRODUÇÃO DE",II,indústria (regra por seção),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),nao,,,,nao,,nao,nao,,,,,,,nao,,,,nao,nao,nao-verificado,,,perfil dominante #1 (277 CNAEs iguais),-
1610203,SERRARIAS COM DESDOBRAMENTO DE MADEIRA EM BRUTO,,,C,INDÚSTRIAS DE TRANSFORMAÇÃO,16,161,DESDOBRAMENTO DE MADEIRA,16102,"Esta classe compreende - a fabricação de madeira bruta desdobrada (serrada) e de madeira resserrada (pranchas, pranchões, postes, tábuas, barrotes, aplainados para caixas e engradados e semelhantes) | - a fabricação de pisos de madeira e tábuas para assoalho e teto | - a fabricação de dormentes para vias férreas || Esta classe compreende ainda - a fabricação de lã e de partículas de madeira para qualquer fim | - a secagem, preservação e imunização da madeira | - a fabricação de briquetes de resíduos de madeira (carvão ecológico) || Esta classe NÃO compreende - a produção florestal de madeira em bruto (divisão 02) | - a fabricação de chapas de madeira compensada, prensada ou aglomerada (16.21-8) | - a fabricação de estruturas de madeira e vigamentos para construção (16.22-6)","Esta subclasse compreende - a produção de madeira bruta desdobrada ou serrada em bruto || Esta subclasse compreende ainda - a secagem, preservação e imunização da madeira serrada quando integrada à produção de madeira bruta desdobrada ou serrada em bruto || Esta subclasse NÃO compreende - a extração florestal de madeira em bruto (seção A - divisão 02) | - as serrarias sem desdobramento de madeira em bruto (1610-2/04) | - os serviços de tratamento de madeira realizada sob contrato (1610-2/05)",DESDOBRAMENTO DE MADEIRA EM BRUTO; SERVIÇO DE || IMUNIZAÇÃO DA MADEIRA QUANDO INTEGRADA À PRODUÇÃO DE MADEIRA BRUTA DESDOBRADA OU SERRADA EM BRUTO; SERVIÇOS DE || MADEIRA SERRADA OU DESDOBRADA; PRODUÇÃO DE,II,indústria (regra por seção),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),nao,,,,nao,,nao,nao,,,,,,,nao,,,,nao,nao,nao-verificado,,,exceção · Anexo II puro (indústria),-
4623105,COMÉRCIO ATACADISTA DE CACAU,,,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,46,462,COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS AGRÍCOLAS E ANIMAIS VIVOS,46231,"Esta classe compreende - o comércio atacadista de: | #- animais vivos: bovinos, suínos, caprinos, ovinos, eqüinos, etc | #- alimentos para animais: rações e outros produtos alimentícios, inclusive para animais de estimação | #- couros, lãs, peles e outros subprodutos não-comestíveis de origem animal: chifres, ossos, crinas, penas e plumas, etc. | #- matérias-primas agrícolas: cana-de-açúcar, algodão, fumo em folha não beneficiado, cacau em baga, sisal, fios e fibras ##têxteis não beneficiadas, etc. | #- sementes para lavouras, flores, plantas e gramas | #- outras matérias-primas agrícolas ou animal referentes a esta classe || Esta classe compreende ainda - o comércio atacadista de sub-produtos do abate de animais com beneficiamento primário, tais como: | #- couros e peles em bruto e curtidos ou preparados para sua transformação | #- esterco de animais para adubo, não tratado e resíduos vegetais para alimentação animal | #- ervas medicinais em bruto | #- látex natural e borracha || Esta classe NÃO compreende - o comércio atacadista de: | #- carnes e produtos da carne (46.34-6) | #- leite e produtos do leite (46.31-1) | #- aves e pequenos animais vivos para alimentação (46.33-8) | #- produtos hortifrutigranjeiros (46.33-8) | #- cereais beneficiados (46.32-0) | #- fios e fibras têxteis beneficiadas (46.89-3) | #- produtos veterinários (46.44-3) | #- produtos químicos para uso na agricultura (46.84-2) | #- madeira em bruto (46.71-1) | #- café em grão (46.21-4) | #- soja (46.22-2) | #- óleo de soja em bruto e farelo de soja (10.41-4)",Esta subclasse compreende - o comércio atacadista de cacau (em bagas ou em amêndoas),CACAU EM AMÊNDOAS; COMÉRCIO ATACADISTA DE || CACAU EM BAGAS; COMÉRCIO ATACADISTA DE,I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),nao,,,,nao,,nao,nao,,,,,,,nao,,,,nao,nao,nao-verificado,,,perfil dominante #3 (90 CNAEs iguais),-
4623106,"COMÉRCIO ATACADISTA DE SEMENTES, FLORES, PLANTAS E GRAMAS",,,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,46,462,COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS AGRÍCOLAS E ANIMAIS VIVOS,46231,"Esta classe compreende - o comércio atacadista de: | #- animais vivos: bovinos, suínos, caprinos, ovinos, eqüinos, etc | #- alimentos para animais: rações e outros produtos alimentícios, inclusive para animais de estimação | #- couros, lãs, peles e outros subprodutos não-comestíveis de origem animal: chifres, ossos, crinas, penas e plumas, etc. | #- matérias-primas agrícolas: cana-de-açúcar, algodão, fumo em folha não beneficiado, cacau em baga, sisal, fios e fibras ##têxteis não beneficiadas, etc. | #- sementes para lavouras, flores, plantas e gramas | #- outras matérias-primas agrícolas ou animal referentes a esta classe || Esta classe compreende ainda - o comércio atacadista de sub-produtos do abate de animais com beneficiamento primário, tais como: | #- couros e peles em bruto e curtidos ou preparados para sua transformação | #- esterco de animais para adubo, não tratado e resíduos vegetais para alimentação animal | #- ervas medicinais em bruto | #- látex natural e borracha || Esta classe NÃO compreende - o comércio atacadista de: | #- carnes e produtos da carne (46.34-6) | #- leite e produtos do leite (46.31-1) | #- aves e pequenos animais vivos para alimentação (46.33-8) | #- produtos hortifrutigranjeiros (46.33-8) | #- cereais beneficiados (46.32-0) | #- fios e fibras têxteis beneficiadas (46.89-3) | #- produtos veterinários (46.44-3) | #- produtos químicos para uso na agricultura (46.84-2) | #- madeira em bruto (46.71-1) | #- café em grão (46.21-4) | #- soja (46.22-2) | #- óleo de soja em bruto e farelo de soja (10.41-4)","Esta subclasse compreende - o comércio atacadista de grãos e sementes, flores, plantas e gramas naturais | - o comércio atacadista de sementes para lavoura","ARTIGOS, PRODUTOS DE FLORICULTURA; COMÉRCIO ATACADISTA DE || FLORES NATURAIS; COMÉRCIO ATACADISTA DE || FLORES, PLANTAS, GRAMA; COMÉRCIO ATACADISTA DE || MUDAS DE PINUS; COMÉRCIO ATACADISTA DE || MUDAS DE PLANTAS; COMÉRCIO ATACADISTA DE || SEMENTES CERTIFICADAS; COMÉRCIO ATACADISTA DE || SEMENTES; COMÉRCIO ATACADISTA DE || TERRA PARA JARDIM; COMÉRCIO ATACADISTA DE || VIME, XAXIM; COMÉRCIO ATACADISTA DE",I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),nao,,,,nao,,nao,nao,,,,,,,nao,,,,nao,nao,nao-verificado,,,exceção · Anexo I puro (comércio),-
4623107,COMÉRCIO ATACADISTA DE SISAL,,,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,46,462,COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS AGRÍCOLAS E ANIMAIS VIVOS,46231,"Esta classe compreende - o comércio atacadista de: | #- animais vivos: bovinos, suínos, caprinos, ovinos, eqüinos, etc | #- alimentos para animais: rações e outros produtos alimentícios, inclusive para animais de estimação | #- couros, lãs, peles e outros subprodutos não-comestíveis de origem animal: chifres, ossos, crinas, penas e plumas, etc. | #- matérias-primas agrícolas: cana-de-açúcar, algodão, fumo em folha não beneficiado, cacau em baga, sisal, fios e fibras ##têxteis não beneficiadas, etc. | #- sementes para lavouras, flores, plantas e gramas | #- outras matérias-primas agrícolas ou animal referentes a esta classe || Esta classe compreende ainda - o comércio atacadista de sub-produtos do abate de animais com beneficiamento primário, tais como: | #- couros e peles em bruto e curtidos ou preparados para sua transformação | #- esterco de animais para adubo, não tratado e resíduos vegetais para alimentação animal | #- ervas medicinais em bruto | #- látex natural e borracha || Esta classe NÃO compreende - o comércio atacadista de: | #- carnes e produtos da carne (46.34-6) | #- leite e produtos do leite (46.31-1) | #- aves e pequenos animais vivos para alimentação (46.33-8) | #- produtos hortifrutigranjeiros (46.33-8) | #- cereais beneficiados (46.32-0) | #- fios e fibras têxteis beneficiadas (46.89-3) | #- produtos veterinários (46.44-3) | #- produtos químicos para uso na agricultura (46.84-2) | #- madeira em bruto (46.71-1) | #- café em grão (46.21-4) | #- soja (46.22-2) | #- óleo de soja em bruto e farelo de soja (10.41-4)",Esta subclasse compreende - o comércio atacadista de sisal,SISAL; COMÉRCIO ATACADISTA DE,I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),nao,,,,nao,,nao,nao,,,,,,,nao,,,,nao,nao,nao-verificado,,,exceção · registro setorial = nao-verificado,-
5620102,SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ,,,I,ALOJAMENTO E ALIMENTAÇÃO,56,562,"SERVIÇOS DE CATERING, BUFÊ E OUTROS SERVIÇOS DE COMIDA PREPARADA",56201,"Esta classe compreende - os serviços de bufê para banquetes, coquetéis, recepções, etc . | - a preparação de refeições em cozinha central por conta de terceiros (catering) para fornecimento a empresas de linhas aéreas e outras empresas de transporte | - as cantinas, restaurantes de empresas e outros serviços de alimentação || Esta classe compreende ainda - a preparação de refeições ou pratos cozidos, inclusive congelados, entregues ou servidos em domicílios.","Esta subclasse compreende - o serviço de alimentação fornecidos por bufê para banquetes, coquetéis, recepções, etc.","ALIMENTAÇÃO FORNECIDOS POR BUFÊ (BUFFET) PARA BANQUETES, COQUETÉIS E RECEPÇÕES; SERVIÇOS DE || BUFE; SERVIÇOS DE ALIMENTAÇÃO || BUFFET; SERVIÇO DE ALIMENTAÇÃO || FORNECIMENTO DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES; SERVIÇOS DE",I,"comercio (fornecimento de alimentacao -- Decreto 7.212/2010 RIPI art.5o I 'a', nao e industrializacao, tratado como revenda de mercadoria -- Simples Nacional Anexo I)",,,atende,presumido (serviço/comércio leve no Simples; validar),sim,CHURRASQUEIRO(A) EM DOMICÍLIO INDEPENDENTE || PIZZAIOLO(A) EM DOMICÍLIO INDEPENDENTE,S,S,nao,,nao,nao,,,,5%,nao,"Organização de festas e recepções; bufê (exceto o fornecimento de alimentação e bebidas que fica sujeito ao ICMS). (CTISS 1711-0/01-88, LC116 17.11, 5%) || Preparo de alimentos (CTISS 1711-0/02-88, LC116 17.11, 5%)",nao,,,,nao,nao,nao,,,exceção · MEI permitido mas NÃO atendemos (comércio),-
6611802,BOLSA DE MERCADORIAS,,,K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",66,661,ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS,66118,"Esta classe compreende - as atividades de organização e gestão de um mercado contínuo para negociação de títulos e valores mobiliários. São exercidas por entidades constituídas pela associação das sociedades corretoras locais na forma de associações civis sem fins lucrativos, com autonomia administrativa, financeira e patrimonial | - as atividades de operação e supervisão de Bolsas de Mercadorias por instituições independentes das autoridades públicas | - as atividades de operação e supervisão de Bolsas de Mercadorias e Futuros por instituições independentes das autoridades públicas | - as atividades de administração de mercados de balcão organizados",Esta subclasse compreende - as atividades de operação e supervisão de Bolsas de Mercadorias por instituições independentes das autoridades públicas,BOLSA DE MERCADORIAS,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),nao,,,,nao,,sim,nao,III-fixo,"LC123 art18 5o-F (residual, nenhuma previsao em IV/V)",media,,,,nao,,,,nao,nao,nao-verificado,,,perfil dominante #7 (47 CNAEs iguais),-
6611803,BOLSA DE MERCADORIAS E FUTUROS,,,K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",66,661,ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS,66118,"Esta classe compreende - as atividades de organização e gestão de um mercado contínuo para negociação de títulos e valores mobiliários. São exercidas por entidades constituídas pela associação das sociedades corretoras locais na forma de associações civis sem fins lucrativos, com autonomia administrativa, financeira e patrimonial | - as atividades de operação e supervisão de Bolsas de Mercadorias por instituições independentes das autoridades públicas | - as atividades de operação e supervisão de Bolsas de Mercadorias e Futuros por instituições independentes das autoridades públicas | - as atividades de administração de mercados de balcão organizados",Esta subclasse compreende - as atividades de operação e supervisão de Bolsas de Mercadorias e Futuros por instituições independentes das autoridades públicas,BOLSA DE MERCADORIAS E FUTUROS || MERCADO A TERMO || MERCADO DE ESTOQUES || MERCADO DE FUTUROS || MERCADO DE OPÇÕES,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),nao,,,,nao,,sim,nao,III-fixo,"LC123 art18 5o-F (residual, nenhuma previsao em IV/V)",media,,,,nao,,,,nao,nao,nao-verificado,,,exceção · vedado ao Simples (Anexo VI da CGSN),-
0111301,CULTIVO DE ARROZ,,,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01113,"Esta classe compreende - o cultivo de alpiste, arroz, aveia, centeio, cevada, milho, milheto, painço, sorgo, trigo, trigo preto, triticale e outros cereais não especificados anteriormente || Esta classe compreende ainda - o beneficiamento de cereais em estabelecimento agrícola, quando atividade complementar ao cultivo | - a produção de sementes de cereais, quando atividade complementar ao cultivo || Esta classe NÃO compreende - a produção de sementes certificadas dos cereais desta classe, inclusive modificadas geneticamente (01.41-5) | - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) | - o beneficiamento de cereais em estabelecimento agrícola realizado sob contrato (01.63-6) | - o processamento ou beneficiamento de cereais em estabelecimento não-agrícola (grupo 10.4) e (grupo 10.6) | - a produção de biocombustível (19.32-2)","Esta subclasse compreende - o cultivo de arroz || Esta subclasse compreende ainda - o beneficiamento de arroz em estabelecimento agrícola, quando atividade complementar ao cultivo  |  | - a produção de sementes de arroz, quando atividade complementar ao cultivo || Esta subclasse NÃO compreende - a produção de sementes certificadas de arroz, inclusive modificadas geneticamente (0141-5/01) | - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (0161-0/03) | - o beneficiamento de arroz realizado no estabelecimento agrícola sob contrato (0163-6/00) | - a produção de óleo de arroz em bruto (1041-4/00) | - o beneficiamento de arroz em estabelecimento não-agrícola (1061-9/01)",ARROZ QUANDO ATIVIDADE COMPLEMENTAR AO CULTIVO; BENEFICIAMENTO DE || ARROZ; CULTIVO DE || SEMENTE DE ARROZ (QUANDO REALIZADA JUNTAMENTE AO CULTIVO); PRODUÇÃO DE,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte),nao,,,,nao,,nao,nao,III-fixo,"LC123 art18 5o-F (residual, nenhuma previsao em IV/V)",media,,,,nao,,,,nao,nao,nao-verificado,,,perfil dominante #2 (119 CNAEs iguais),-
