cnae,descricao,secao,divisao,anexo,fator_r,pode_mei,risco_cgsim,veredito,orgaos_conselho,orgaos_setorial,debativel,confianca,motivos
"0161-0/03","SERVIÇO DE PREPARAÇÃO DE TERRENO, CULTIVO E COLHEITA","A","01","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"0162-8/03","SERVIÇO DE MANEJO DE ANIMAIS","A","01","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"0322-1/07","ATIVIDADES DE APOIO À AQÜICULTURA EM ÁGUA DOCE","A","03","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"1099-6/04","FABRICAÇÃO DE GELO COMUM","C","10","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"3250-7/06","SERVIÇOS DE PRÓTESE DENTÁRIA","C","32","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"3250-7/09","SERVIÇO DE LABORATÓRIO ÓPTICO","C","32","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3312-1/02","MANUTENÇÃO E REPARAÇÃO DE APARELHOS E INSTRUMENTOS DE MEDIDA, TESTE E CONTROLE","C","33","III","nao","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"3312-1/03","MANUTENÇÃO E REPARAÇÃO DE APARELHOS ELETROMÉDICOS E ELETROTERAPÊUTICOS E EQUIPAMENTOS DE IRRADIAÇÃO","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3312-1/04","MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS E INSTRUMENTOS ÓPTICOS","C","33","III","nao","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"3313-9/01","MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS","C","33","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3313-9/02","MANUTENÇÃO E REPARAÇÃO DE BATERIAS E ACUMULADORES ELÉTRICOS, EXCETO PARA VEÍCULOS","C","33","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"3313-9/99","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS NÃO ESPECIFICADOS ANTERIORMENTE","C","33","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/01","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS MOTRIZES NÃO ELÉTRICAS","C","33","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"3314-7/02","MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS HIDRÁULICOS E PNEUMÁTICOS, EXCETO VÁLVULAS","C","33","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"3314-7/03","MANUTENÇÃO E REPARAÇÃO DE VÁLVULAS INDUSTRIAIS","C","33","III","nao","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"3314-7/04","MANUTENÇÃO E REPARAÇÃO DE COMPRESSORES","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/05","MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS DE TRANSMISSÃO PARA FINS INDUSTRIAIS","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/06","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, APARELHOS E EQUIPAMENTOS PARA INSTALAÇÕES TÉRMICAS","C","33","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"3314-7/07","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E APARELHOS DE REFRIGERAÇÃO E VENTILAÇÃO PARA USO INDUSTRIAL E COMERCIAL","C","33","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"3314-7/08","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE CARGAS","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/09","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS DE ESCREVER, CALCULAR E DE OUTROS EQUIPAMENTOS NÃO ELETRÔNICOS PARA ESCRITÓRIO","C","33","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"3314-7/10","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE","C","33","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/11","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA AGRICULTURA E PECUÁRIA","C","33","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/12","MANUTENÇÃO E REPARAÇÃO DE TRATORES AGRÍCOLAS","C","33","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"3314-7/13","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS FERRAMENTA","C","33","III","nao","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"3314-7/14","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA A PROSPECÇÃO E EXTRAÇÃO DE PETRÓLEO","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/15","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA USO NA EXTRAÇÃO MINERAL, EXCETO NA EXTRAÇÃO DE PETRÓLEO","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/16","MANUTENÇÃO E REPARAÇÃO DE TRATORES, EXCETO AGRÍCOLAS","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/17","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS DE TERRAPLENAGEM, PAVIMENTAÇÃO E CONSTRUÇÃO, EXCETO TRATORES","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/18","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS PARA A INDÚSTRIA METALÚRGICA, EXCETO MÁQUINAS FERRAMENTA","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/19","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA AS INDÚSTRIAS DE ALIMENTOS, BEBIDAS E FUMO","C","33","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/20","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA A INDÚSTRIA TÊXTIL, DO VESTUÁRIO, DO COURO E CALÇADOS","C","33","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/21","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E APARELHOS PARA A INDÚSTRIA DE CELULOSE, PAPEL E PAPELÃO E ARTEFATOS","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/22","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E APARELHOS PARA A INDÚSTRIA DO PLÁSTICO","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3314-7/99","MANUTENÇÃO E REPARAÇÃO DE OUTRAS MÁQUINAS E EQUIPAMENTOS PARA USOS INDUSTRIAIS NÃO ESPECIFICADOS ANTERIORMENTE","C","33","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3315-5/00","MANUTENÇÃO E REPARAÇÃO DE VEÍCULOS FERROVIÁRIOS","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3316-3/01","MANUTENÇÃO E REPARAÇÃO DE AERONAVES, EXCETO A MANUTENÇÃO NA PISTA","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3316-3/02","MANUTENÇÃO DE AERONAVES NA PISTA","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3317-1/01","MANUTENÇÃO E REPARAÇÃO DE EMBARCAÇÕES E ESTRUTURAS FLUTUANTES","C","33","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3317-1/02","MANUTENÇÃO E REPARAÇÃO DE EMBARCAÇÕES PARA ESPORTE E LAZER","C","33","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3319-8/00","MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS E PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE","C","33","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"3321-0/00","INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS","C","33","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4211-1/02","PINTURA PARA SINALIZAÇÃO EM PISTAS RODOVIÁRIAS E AEROPORTOS","F","42","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4221-9/03","MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA","F","42","III/IV","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4221-9/05","MANUTENÇÃO DE ESTAÇÕES E REDES DE TELECOMUNICAÇÕES","F","42","III/IV","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4313-4/00","OBRAS DE TERRAPLENAGEM","F","43","III/IV","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4321-5/00","INSTALAÇÃO E MANUTENÇÃO ELÉTRICA","F","43","III/IV","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
