code,friendly_title,friendly_description
7729201,Aluguel de videogames e jogos eletrônicos,"Aluguel de consoles, videogames, fliperamas e brinquedos eletrônicos. Você aluga o aparelho; explorar o jogo no seu ponto é outra atividade."
7729202,"Aluguel de móveis, eletrodomésticos e instrumentos","Aluguel de móveis, cadeiras, eletrodomésticos, ar-condicionado e instrumentos musicais para uso doméstico ou pessoal."
7729203,Aluguel de material médico,"Aluguel de cadeira de rodas, cama hospitalar, muletas, inaladores e material médico em geral."
5590601,Albergue e hostel,"Hospedagem em albergue ou hostel, com cama por noite ou quarto compartilhado. Não cobre albergue assistencial, que é serviço social."
5590603,Pensão e casa de cômodos,"Hospedagem em pensão, com ou sem refeição incluída."
5811500,Edição de livros,"Edição de livros impressos e digitais, e-books, audiolivros, apostilas, dicionários e atlas."
5812301,Edição de jornal diário,"Edição de jornal que sai todo dia, impresso, eletrônico ou na internet."
5812302,Edição de jornal semanal ou mensal,"Edição de jornal que não sai todo dia: semanal, quinzenal ou mensal, impresso ou na internet."
5813100,Edição de revistas,"Edição de revistas e publicações periódicas, impressas, eletrônicas ou na internet."
6201502,Web design,"Criação e desenvolvimento de sites, portais e páginas na internet."
5819100,"Edição de catálogos, listas e guias","Edição de catálogos, listas, guias, calendários, cartões-postais e cartões de felicitação."
5911102,Produção de vídeo publicitário,"Produção de comercial de TV, filme institucional e vídeo para campanha publicitária."
5912001,Dublagem,"Dublagem de filmes, séries, programas de televisão e vídeos."
5912002,Mixagem e edição de som,"Mixagem sonora para filme, vídeo e programa de televisão."
7220700,Pesquisa em ciências sociais e humanas,"Pesquisa e desenvolvimento em direito, economia, linguística, arqueologia, artes e áreas afins."
5920100,Estúdio de gravação e edição musical,"Gravação de som, edição de música e gestão de direitos autorais de obras musicais."
6201501,Desenvolvimento de software sob encomenda,"Criação de sistema, aplicativo ou banco de dados feito sob medida para um cliente específico."
6202300,Desenvolvimento de software customizável,Desenvolvimento e licenciamento de software que você adapta para cada cliente.
6203100,Desenvolvimento de software pronto,"Desenvolvimento e licenciamento de software vendido igual para todo mundo, sem adaptação por cliente."
6204000,Consultoria em TI,"Consultoria, assessoria e auditoria em sistemas, software e infraestrutura de informática."
6209100,Suporte técnico em TI,"Help-desk, instalação, configuração e manutenção de sistemas e equipamentos de informática."
6311900,Hospedagem de sites e tratamento de dados,"Hospedagem na internet, gestão de banco de dados de terceiros e processamento de dados."
