codigo,titulo_oficial,titulo_amigavel,descricao_oficial,descricao_amigavel,termos_de_busca,familia,divisao_id,anexo,fator_r,anexo_inciso,mei_ocupacoes,mei_permitido,atende_me,atende_mei,motivo_nao_atende,exige_conselho,conselho_qual
7729201,ALUGUEL DE APARELHOS DE JOGOS ELETRÔNICOS,Aluguel de videogames e jogos eletrônicos,Esta subclasse compreende - o aluguel de aparelhos de jogos eletrônicos || Esta subclasse NÃO compreende - a exploração de jogos eletrônicos recreativos (9329-8/04),"Aluguel de consoles, videogames, fliperamas e brinquedos eletrônicos. Você aluga o aparelho; explorar o jogo no seu ponto é outra atividade.","APARELHOS DE JOGOS ELETRÔNICOS; ALUGUEL DE, LOCAÇÃO DE || APARELHOS DE VIDEOGAMES; ALUGUEL DE, LOCAÇÃO DE || BRINQUEDOS ELETRÔNICOS; ALUGUEL DE, LOCAÇÃO DE || CONSOLES DE JOGOS ELETRÔNICOS; ALUGUEL DE, LOCAÇÃO DE || FLIPERAMAS; ALUGUEL DE, LOCAÇÃO DE",aluguel,77,III,nao,§5º-F,LOCADOR(A) DE APARELHOS DE JOGOS ELETRÔNICOS INDEPENDENTE,sim,sim,sim,atendemos,nao,nao-se-aplica
7729202,"ALUGUEL DE MÓVEIS, UTENSÍLIOS E APARELHOS DE USO DOMÉSTICO E PESSOAL; INSTRUMENTOS MUSICAIS","Aluguel de móveis, eletrodomésticos e instrumentos","Esta subclasse compreende - o aluguel de móveis, utensílios e aparelhos eletroeletrônicos de uso doméstico e pessoal | - o aluguel de instrumentos musicais || Esta subclasse compreende ainda - o aluguel de móveis de escritório","Aluguel de móveis, cadeiras, eletrodomésticos, ar-condicionado e instrumentos musicais para uso doméstico ou pessoal.","APARELHOS DE DVD; ALUGUEL DE || APARELHOS ELETRODOMÉSTICOS; ALUGUEL DE, LOCAÇÃO DE || APARELHOS ELETROELETRÔNICOS; ALUGUEL DE || AR CONDICIONADO; ALUGUEL DE || CADEIRAS; ALUGUEL DE, LOCAÇÃO DE || GELADEIRA, FREEZER; ALUGUEL DE || INSTRUMENTOS MUSICAIS; ALUGUEL DE, LOCAÇÃO DE  || MESAS; ALUGUEL DE, LOCAÇÃO DE || MÓVEIS E UTENSÍLIOS PARA FESTAS; ALUGUEL DE, LOCAÇÃO DE || MÓVEIS; ALUGUEL DE, LOCAÇÃO DE || OBJETOS E UTENSÍLIOS DOMÉSTICOS; ALUGUEL DE, LOCAÇÃO DE || TELEVISOR, TELEVISÃO; ALUGUEL DE, LOCAÇÃO DE || UTENSÍLIOS E APARELHOS DE USO DOMÉSTICO; ALUGUEL DE, LOCAÇÃO DE || UTENSÍLIOS E APARELHOS ELETROELETRÔNICOS DE USO DOMÉSTICO; ALUGUEL DE || VIDEOCASSETE; ALUGUEL DE, LOCAÇÃO DE",aluguel,77,III,nao,"§5º-F (residual, conferido 2026-09-24)","LOCADOR(A) DE MÓVEIS E UTENSÍLIOS, INCLUSIVE PARA FESTAS INDEPENDENTE || LOCADOR(A) DE INSTRUMENTOS MUSICAIS INDEPENDENTE",sim,sim,sim,atendemos,nao,nao-se-aplica
7729203,ALUGUEL DE MATERIAL MÉDICO,Aluguel de material médico,"Esta subclasse compreende - o aluguel de material médico, como cadeiras de roda, camas hospitalares, muletas, inaladores, etc.","Aluguel de cadeira de rodas, cama hospitalar, muletas, inaladores e material médico em geral.","CADEIRAS DE RODA; ALUGUEL DE, LOCAÇÃO DE  || CAMAS HOSPITALARES; ALUGUEL DE, LOCAÇÃO DE || INALADORES; ALUGUEL DE || MATERIAL MÉDICO; ALUGUEL DE, LOCAÇÃO DE || MULETAS; ALUGUEL DE, LOCAÇÃO DE",aluguel,77,III,nao,"§5º-F (residual, conferido 2026-09-24)",LOCADOR(A) DE MATERIAL MÉDICO INDEPENDENTE,sim,sim,sim,atendemos,nao,nao-se-aplica
5590601,"ALBERGUES, EXCETO ASSISTENCIAIS",Albergue e hostel,Esta subclasse compreende - as atividades dos albergues não assistenciais || Esta subclasse NÃO compreende - as atividades dos albergues assistenciais (8730-1/02),"Hospedagem em albergue ou hostel, com cama por noite ou quarto compartilhado. Não cobre albergue assistencial, que é serviço social.",ALBERGUE (EXCETO ASSISTENCIAL); SERVIÇO DE ALOJAMENTO || ALOJAMENTO EM ALBERGUES NÃO ASSISTENCIAIS; SERVIÇO DE || ALOJAMENTO EM HOSTEL; SERVIÇOS DE,hospedagem,55,III,nao,"§5º-F (residual, conferido 2026-09-24)",PROPRIETÁRIO(A) DE ALBERGUE NÃO ASSISTENCIAL INDEPENDENTE,sim,sim,sim,atendemos,nao,nao-se-aplica
5590603,PENSÕES(ALOJAMENTO),Pensão e casa de cômodos,Esta subclasse compreende - as atividades das pensões (alojamento) combinadas ou não com serviço de alimentação,"Hospedagem em pensão, com ou sem refeição incluída.",PENSÃO COM SERVIÇO DE ALIMENTAÇÃO; SERVIÇO DE ALOJAMENTO || PENSÃO SEM SERVIÇO DE ALIMENTAÇÃO; SERVIÇO DE ALOJAMENTO || PENSÃO; HOSPEDAGEM || PENSÃO; SERVIÇO DE ALOJAMENTO,hospedagem,55,III,nao,"§5º-F (residual, conferido 2026-09-24)",PROPRIETÁRIO(A) DE PENSÃO INDEPENDENTE,sim,sim,sim,atendemos,nao,nao-se-aplica
5811500,EDIÇÃO DE LIVROS,Edição de livros,"Esta subclasse compreende - a edição de livros (literários, didáticos, infantis), dicionários, atlas, enciclopédias, etc., na forma impressa, eletrônica (CDs) e na internet | - a aquisição de direitos autorais para a edição e disseminação de livros || Esta subclasse compreende ainda - a gestão de direitos autorais de obras literárias || Esta subclasse NÃO compreende - a impressão de livros sob contrato (1811-3/02) | - a edição de jornais (5812-3/00) | - a edição de revistas (5813-1/00) | - a edição de material publicitário (5819-1/00) | - a edição integrada à impressão de livros (5821-2/00) | - as atividades de escritores de todos os tipos de assuntos, inclusive técnicos (9002-7/01)","Edição de livros impressos e digitais, e-books, audiolivros, apostilas, dicionários e atlas.","LIVROS DIGITAIS, VIRTUAIS (E-BOOKS); EDIÇÃO DE || APOSTILAS; EDIÇÃO DE || ATLAS; EDIÇÃO DE || AUDIOLIVROS (AUDIOBOOKS); PRODUÇÃO DE || DICIONÁRIOS; EDIÇÃO DE || DIREITOS AUTORAIS DE OBRAS LITERÁRIAS; GESTÃO DE || ENCICLOPÉDIAS; EDIÇÃO DE || LIVROS ELETRÔNICOS; EDIÇÃO DE || LIVROS EM GERAL; EDIÇÃO DE || LIVROS INFANTIS; EDIÇÃO DE || LIVROS NA INTERNET; EDIÇÃO DE || LIVROS TÉCNICOS; EDIÇÃO DE || MAPAS; EDIÇÃO DE || OBRAS LITERÁRIAS; AQUISIÇÃO DE DIREITOS AUTORAIS || OBRAS LITERÁRIAS; EDIÇÃO DE",edicao,58,III,nao,"§5º-F (residual, conferido 2026-09-24)",EDITOR(A) DE LIVROS INDEPENDENTE,sim,sim,sim,atendemos,nao,nao-se-aplica
5812301,EDIÇÃO DE JORNAIS DIÁRIOS,Edição de jornal diário,"Esta subclasse compreende - a edição diária de jornais, inclusive publicitários, na forma impressa, eletrônica e na internet; a receita das unidades nessa categoria inclui também a venda de espaços para publicidade. || Esta subclasse NÃO compreende - a edição de jornais não diário (5812-3/02) | - a impressão de jornais sob contrato (1811-3/01) | - a edição integrada à impressão de jornais diários (5822-1/01) | - a edição integrada à impressão de jornais não diários (5822-1/02) | - as atividades de jornalistas independente (9002-7/01)","Edição de jornal que sai todo dia, impresso, eletrônico ou na internet.",JORNAIS ELETRÔNICOS DIÁRIOS; EDIÇÃO DE || JORNAIS IMPRESSOS DIÁRIOS; EDIÇÃO DE || JORNAIS NA INTERNET DIÁRIOS; EDIÇÃO DE || JORNAIS PUBLICITÁRIOS DIÁRIOS; EDIÇÃO DE,edicao,58,III,nao,"§5º-F (residual, conferido 2026-09-24)",EDITOR(A) DE JORNAIS DIÁRIOS INDEPENDENTE,sim,sim,sim,atendemos,nao,nao-se-aplica
5812302,EDIÇÃO DE JORNAIS NÃO DIÁRIOS,Edição de jornal semanal ou mensal,"Esta subclasse compreende - a edição de jornais com periodicidade não diária, inclusive publicitários, na forma impressa, eletrônica e na internet; a receita das unidades nessa categoria inclui também a venda de espaços para publicidade || Esta subclasse NÃO compreende - a edição de jornais diário (5812-3/01) | - a impressão de jornais sob contrato (1811-3/01) | - a edição integrada à impressão de jornais diários (5822-1/01) | - a edição integrada à impressão de jornais não diários (5822-1/02) | - as atividades de jornalistas independente (9002-7/01)","Edição de jornal que não sai todo dia: semanal, quinzenal ou mensal, impresso ou na internet.",JORNAIS ELETRÔNICOS NÃO DIÁRIOS; EDIÇÃO DE || JORNAIS IMPRESSOS NÃO DIÁRIOS; EDIÇÃO DE || JORNAIS NA INTERNET NÃO DIÁRIOS; EDIÇÃO DE || JORNAIS PUBLICITÁRIOS NÃO DIÁRIOS; EDIÇÃO DE,edicao,58,III,nao,"§5º-F (residual, conferido 2026-09-24)",EDITOR(A) DE JORNAIS NÃO DIÁRIOS INDEPENDENTE,sim,sim,sim,atendemos,nao,nao-se-aplica
5813100,EDIÇÃO DE REVISTAS,Edição de revistas,"Esta subclasse compreende - a edição de revistas periódicas, de conteúdo geral ou técnico, como revistas industriais, revistas com programações de televisão, etc., na forma impressa, eletrônica e na Internet; | - a venda de espaços para publicidade. || Esta subclasse NÃO compreende - a impressão de revistas sob contrato (1811-3/02) | - a edição integrada à impressão de revistas (5823-9/00)","Edição de revistas e publicações periódicas, impressas, eletrônicas ou na internet.",PUBLICAÇÕES PERIÓDICAS; EDIÇÃO DE || REVISTAS DE CONTEÚDO TÉCNICO OU GERAL; EDIÇÃO DE || REVISTAS DE PROGRAMAÇÃO DE TELEVISÃO; EDIÇÃO DE || REVISTAS ELETRÔNICAS; EDIÇÃO DE || REVISTAS NA INTERNET; EDIÇÃO DE || VENDA DE ESPAÇOS PARA PUBLICIDADE EM REVISTAS,edicao,58,III,nao,"§5º-F (residual, conferido 2026-09-24)",EDITOR(A) DE REVISTAS INDEPENDENTE,sim,sim,sim,atendemos,nao,nao-se-aplica
6201502,WEB DESIGN,Web design,Esta subclasse compreende - o desenvolvimento/criação de interfaces para a internet (web design) || Esta subclasse NÃO compreende - o desenvolvimento e licenciamento de programas de computador customizáveis (6202-3/00) | - o desenvolvimento e licenciamento de programas de computador não-customizáveis (6203-1/00) | - os serviços de customização dos programas de computador (6204-0/00) | - os serviços de design gráfico (7410-2/99),"Criação e desenvolvimento de sites, portais e páginas na internet.","DESENVOLVIMENTO DE SITES, WEBSITES; SERVIÇOS DE || EDIÇÃO DE SITES, WEBSITES; SERVIÇOS DE || PORTAIS NA INTERNET; CONFECÇÃO DE, DESENVOLVIMENTO DE, CRIAÇÃO DE, SERVIÇOS DE  || PÁGINAS NA INTERNET; CONFECÇÃO DE, DESENVOLVIMENTO DE, CRIAÇÃO DE, SERVIÇOS DE || WEB DESIGN; DESENVOLVIMENTO, CRIAÇÃO DE INTERFACES PARA A INTERNET",tech,62,III-ou-V,sim,"5o-D, VI",nao-se-aplica,nao,sim,nao,atendemos,nao,nao-se-aplica
