cnae,descricao,secao,divisao,anexo,fator_r,pode_mei
"3250-7/06","SERVIÇOS DE PRÓTESE DENTÁRIA","C","32","III/V","sim","nao"
"3312-1/02","MANUTENÇÃO E REPARAÇÃO DE APARELHOS E INSTRUMENTOS DE MEDIDA, TESTE E CONTROLE","C","33","III","nao","nao"
"3312-1/04","MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS E INSTRUMENTOS ÓPTICOS","C","33","III","nao","nao"
"3313-9/02","MANUTENÇÃO E REPARAÇÃO DE BATERIAS E ACUMULADORES ELÉTRICOS, EXCETO PARA VEÍCULOS","C","33","III","nao","sim"
"3314-7/01","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS MOTRIZES NÃO ELÉTRICAS","C","33","III","nao","sim"
"3314-7/02","MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS HIDRÁULICOS E PNEUMÁTICOS, EXCETO VÁLVULAS","C","33","III","nao","sim"
"3314-7/03","MANUTENÇÃO E REPARAÇÃO DE VÁLVULAS INDUSTRIAIS","C","33","III","nao","nao"
"3314-7/06","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, APARELHOS E EQUIPAMENTOS PARA INSTALAÇÕES TÉRMICAS","C","33","III","nao","sim"
"3314-7/07","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E APARELHOS DE REFRIGERAÇÃO E VENTILAÇÃO PARA USO INDUSTRIAL E COMERCIAL","C","33","III","nao","sim"
"3314-7/09","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS DE ESCREVER, CALCULAR E DE OUTROS EQUIPAMENTOS NÃO ELETRÔNICOS PARA ESCRITÓRIO","C","33","III","nao","sim"
"3314-7/12","MANUTENÇÃO E REPARAÇÃO DE TRATORES AGRÍCOLAS","C","33","III","nao","sim"
"3314-7/13","MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS FERRAMENTA","C","33","III","nao","nao"
"4520-0/01","SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES","G","45","III","nao","sim"
"4520-0/02","SERVIÇOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEÍCULOS AUTOMOTORES","G","45","III","nao","sim"
"4520-0/03","SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO ELÉTRICA DE VEÍCULOS AUTOMOTORES","G","45","III","nao","sim"
"4520-0/04","SERVIÇOS DE ALINHAMENTO E BALANCEAMENTO DE VEÍCULOS AUTOMOTORES","G","45","III","nao","nao"
"4520-0/05","SERVIÇOS DE LAVAGEM, LUBRIFICAÇÃO E POLIMENTO DE VEÍCULOS AUTOMOTORES","G","45","III/IV","nao","sim"
"4520-0/06","SERVIÇOS DE BORRACHARIA PARA VEÍCULOS AUTOMOTORES","G","45","III","nao","sim"
"4520-0/07","SERVIÇOS DE INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES","G","45","III","nao","sim"
"4520-0/08","SERVIÇOS DE CAPOTARIA","G","45","III","nao","sim"
"4543-9/00","MANUTENÇÃO E REPARAÇÃO DE MOTOCICLETAS E MOTONETAS","G","45","III","nao","sim"
"5590-6/01","ALBERGUES, EXCETO ASSISTENCIAIS","I","55","III","nao","sim"
"5590-6/03","PENSÕES(ALOJAMENTO)","I","55","III","nao","sim"
"5911-1/02","PRODUÇÃO DE FILMES PARA PUBLICIDADE","J","59","III","nao","nao"
"5912-0/01","SERVIÇOS DE DUBLAGEM","J","59","III","nao","sim"
"5912-0/02","SERVIÇOS DE MIXAGEM SONORA EM PRODUÇÃO AUDIOVISUAL","J","59","III","nao","nao"
"5920-1/00","ATIVIDADES DE GRAVAÇÃO DE SOM E DE EDIÇÃO DE MÚSICA","J","59","III","nao","nao"
"6201-5/01","DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA","J","62","III/V","sim","nao"
"6201-5/02","WEB DESIGN","J","62","III/V","sim","nao"
"6202-3/00","DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZÁVEIS","J","62","III/V","sim","nao"
"6203-1/00","DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR NÃO CUSTOMIZÁVEIS","J","62","III/V","sim","nao"
"6204-0/00","CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO","J","62","III/V","sim","nao"
"6209-1/00","SUPORTE TÉCNICO, MANUTENÇÃO E OUTROS SERVIÇOS EM TECNOLOGIA DA INFORMAÇÃO","J","62","III/V","sim","nao"
"6311-9/00","TRATAMENTO DE DADOS, PROVEDORES DE SERVIÇOS DE APLICAÇÃO E SERVIÇOS DE HOSPEDAGEM NA INTERNET","J","63","III/V","sim","nao"
"6319-4/00","PORTAIS, PROVEDORES DE CONTEÚDO E OUTROS SERVIÇOS DE INFORMAÇÃO NA INTERNET","J","63","III/V","sim","nao"
