cnae,descricao,secao_id,secao,divisao_id,classe_id,anexo_base,anexo_just,fator_r,aliquota_inicial,contabilizei_atende,contabilizei_just
4929902,"TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL",H,"Transporte, Armazenagem E Correio",49,49299,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
1610204,SERRARIAS SEM DESDOBRAMENTO DE MADEIRA EM BRUTO - RESSERRAGEM,C,Indústrias De Transformação,16,16102,II,indústria (regra por seção),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
1610203,SERRARIAS COM DESDOBRAMENTO DE MADEIRA EM BRUTO,C,Indústrias De Transformação,16,16102,II,indústria (regra por seção),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
4623105,COMÉRCIO ATACADISTA DE CACAU,G,Comércio; Reparação De Veículos Automotores E Motocicletas,46,46231,I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar)
3314705,MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS DE TRANSMISSÃO PARA FINS INDUSTRIAIS,C,Indústrias De Transformação,33,33147,II,indústria (regra por seção),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
4623106,"COMÉRCIO ATACADISTA DE SEMENTES, FLORES, PLANTAS E GRAMAS",G,Comércio; Reparação De Veículos Automotores E Motocicletas,46,46231,I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar)
4623107,COMÉRCIO ATACADISTA DE SISAL,G,Comércio; Reparação De Veículos Automotores E Motocicletas,46,46231,I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar)
5620102,SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ,I,Alojamento E Alimentação,56,56201,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,atende,presumido (serviço/comércio leve no Simples; validar)
6611802,BOLSA DE MERCADORIAS,K,"Atividades Financeiras, De Seguros E Serviços Relacionados",66,66118,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
6611803,BOLSA DE MERCADORIAS E FUTUROS,K,"Atividades Financeiras, De Seguros E Serviços Relacionados",66,66118,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
